,time,x-acceleration,y-acceleration,z-acceleration,output
378,7.56,0.83,0.16,0.533,drum
379,7.58,0.785,0.166,0.499,drum
380,7.6,0.783,0.145,0.516,drum
381,7.62,0.797,0.133,0.542,drum
382,7.64,0.805,0.134,0.555,drum
383,7.66,0.807,0.146,0.536,drum
384,7.68,0.824,0.139,0.508,drum
385,7.7,0.793,0.128,0.476,drum
386,7.72,0.729,0.136,0.517,drum
387,7.74,0.686,0.164,0.491,drum
388,7.76,0.771,0.221,0.437,drum
389,7.78,1.13,0.23,0.492,drum
390,7.8,1.229,0.155,0.555,drum
391,7.82,1.09,0.134,0.624,drum
392,7.84,1.073,0.134,0.563,drum
393,7.86,1.049,0.127,0.476,drum
394,7.88,0.983,0.058,0.47,drum
395,7.9,0.917,0.047,0.453,drum
396,7.92,0.933,0.041,0.409,drum
397,7.94,0.881,0.009,0.378,drum
398,7.96,0.868,-0.001,0.366,drum
399,7.98,0.886,-0.011,0.365,drum
400,8.0,0.898,-0.013,0.357,drum
401,8.02,0.824,-0.016,0.35,drum
402,8.04,0.759,-0.009,0.335,drum
403,8.06,0.788,-0.009,0.351,drum
404,8.08,0.82,-0.023,0.364,drum
405,8.1,0.795,-0.019,0.372,drum
406,8.12,0.743,-0.018,0.375,drum
407,8.14,0.722,-0.001,0.409,drum
408,8.16,0.735,0.013,0.469,drum
409,8.18,0.765,0.011,0.511,drum
410,8.2,0.83,0.004,0.51,drum
411,8.22,0.906,0.013,0.575,drum
412,8.24,0.917,0.007,0.684,drum
413,8.26,0.978,-0.025,0.737,drum
414,8.28,0.818,-0.045,0.666,drum
415,8.3,0.693,0.022,0.463,drum
416,8.32,0.68,0.294,0.225,drum
417,8.34,0.504,0.472,0.115,drum
418,8.36,0.314,0.49,0.313,drum
419,8.38,1.772,0.197,1.207,drum
420,8.4,1.918,-0.23,1.192,drum
421,8.42,0.58,0.053,0.486,drum
422,8.44,0.284,0.289,0.305,drum
423,8.46,0.727,0.169,0.435,drum
424,8.48,0.817,0.121,0.458,drum
425,8.5,0.754,0.176,0.454,drum
426,8.52,0.803,0.15,0.499,drum
427,8.54,0.853,0.156,0.514,drum
428,8.56,0.911,0.147,0.522,drum
429,8.58,0.921,0.144,0.524,drum
430,8.6,0.876,0.165,0.506,drum
431,8.62,0.818,0.167,0.483,drum
432,8.64,0.823,0.148,0.505,drum
433,8.66,0.831,0.137,0.522,drum
434,8.68,0.83,0.157,0.505,drum
435,8.7,0.875,0.156,0.509,drum
436,8.72,0.916,0.141,0.529,drum
437,8.74,0.924,0.116,0.539,drum
438,8.76,0.83,0.133,0.508,drum
439,8.78,0.851,0.151,0.528,drum
440,8.8,0.939,0.143,0.598,drum
441,8.82,0.984,0.091,0.63,drum
442,8.84,1.062,0.09,0.662,drum
443,8.86,1.003,0.104,0.695,drum
444,8.88,0.908,0.082,0.628,drum
445,8.9,0.937,0.052,0.541,drum
446,8.92,0.976,0.018,0.468,drum
447,8.94,0.803,0.02,0.413,drum
448,8.96,0.753,-0.015,0.385,drum
449,8.98,0.804,-0.033,0.385,drum
450,9.0,0.814,-0.037,0.373,drum
451,9.02,0.785,-0.073,0.316,drum
452,9.04,0.784,-0.073,0.333,drum
453,9.06,0.777,-0.082,0.371,drum
454,9.08,0.735,-0.062,0.381,drum
455,9.1,0.733,-0.061,0.401,drum
456,9.12,0.696,-0.075,0.391,drum
457,9.14,0.661,-0.06,0.385,drum
458,9.16,0.668,-0.036,0.439,drum
459,9.18,0.732,-0.021,0.492,drum
460,9.2,0.849,-0.022,0.523,drum
461,9.22,0.909,0.008,0.635,drum
462,9.24,1.057,-0.005,0.823,drum
463,9.26,0.897,-0.061,0.871,drum
464,9.28,0.557,-0.132,0.47,drum
465,9.3,0.675,0.101,0.129,drum
466,9.32,1.106,0.556,0.448,drum
467,9.34,0.032,0.202,0.256,drum
468,9.36,0.838,0.483,1.007,drum
469,9.38,2.0,-0.137,1.517,drum
470,9.4,1.101,-0.129,0.768,drum
471,9.42,0.351,0.218,0.348,drum
472,9.44,0.642,0.195,0.355,drum
473,9.46,0.762,0.12,0.38,drum
474,9.48,0.73,0.17,0.395,drum
475,9.5,0.736,0.158,0.409,drum
476,9.52,0.793,0.178,0.447,drum
477,9.54,0.934,0.177,0.518,drum
478,9.56,0.941,0.161,0.584,drum
479,9.58,0.857,0.181,0.586,drum
480,9.6,0.799,0.197,0.542,drum
481,9.62,0.816,0.185,0.53,drum
482,9.64,0.821,0.161,0.54,drum
483,9.66,0.814,0.149,0.556,drum
484,9.68,0.81,0.138,0.553,drum
485,9.7,0.844,0.128,0.561,drum
486,9.72,0.891,0.096,0.545,drum
487,9.74,0.903,0.074,0.527,drum
488,9.76,0.889,0.077,0.534,drum
489,9.78,0.885,0.087,0.555,drum
490,9.8,0.96,0.075,0.57,drum
491,9.82,0.952,0.085,0.554,drum
492,9.84,0.944,0.095,0.587,drum
493,9.86,1.005,0.065,0.636,drum
494,9.88,0.967,0.051,0.637,drum
495,9.9,1.015,0.057,0.717,drum
496,9.92,1.01,0.074,0.717,drum
497,9.94,0.915,0.096,0.608,drum
498,9.96,0.844,0.047,0.476,drum
499,9.98,0.724,0.008,0.361,drum
500,10.0,0.741,-0.029,0.308,drum
501,10.02,0.769,-0.072,0.296,drum
502,10.04,0.714,-0.098,0.309,drum
503,10.06,0.733,-0.116,0.316,drum
504,10.08,0.731,-0.123,0.329,drum
505,10.1,0.719,-0.15,0.33,drum
506,10.12,0.705,-0.145,0.35,drum
507,10.14,0.749,-0.129,0.419,drum
508,10.16,0.776,-0.113,0.466,drum
509,10.18,0.798,-0.106,0.51,drum
510,10.2,0.853,-0.117,0.528,drum
511,10.22,1.086,-0.116,0.594,drum
512,10.24,1.122,-0.167,0.616,drum
513,10.26,0.801,-0.05,0.671,drum
514,10.28,0.487,-0.053,0.588,drum
515,10.3,0.587,0.023,0.58,drum
516,10.32,0.867,0.092,0.673,drum
517,10.34,0.905,0.104,0.311,drum
518,10.36,-0.247,0.46,-0.028,drum
519,10.38,1.082,0.442,0.903,drum
520,10.4,2.0,-0.303,1.219,drum
521,10.42,1.341,-0.083,0.822,drum
522,10.44,0.551,0.173,0.474,drum
523,10.46,0.531,0.101,0.361,drum
524,10.48,0.823,0.147,0.431,drum
525,10.5,0.854,0.148,0.507,drum
526,10.52,0.771,0.126,0.489,drum
527,10.54,0.78,0.152,0.468,drum
528,10.56,0.911,0.129,0.486,drum
529,10.58,0.996,0.132,0.528,drum
530,10.6,0.945,0.138,0.536,drum
531,10.62,0.857,0.125,0.505,drum
532,10.64,0.844,0.113,0.49,drum
533,10.66,0.882,0.106,0.511,drum
534,10.68,0.876,0.114,0.561,drum
535,10.7,0.849,0.114,0.566,drum
536,10.72,0.849,0.119,0.53,drum
537,10.74,0.891,0.144,0.536,drum
538,10.76,0.986,0.139,0.574,drum
539,10.78,0.928,0.127,0.624,drum
540,10.8,0.757,0.115,0.635,drum
541,10.82,0.689,0.075,0.591,drum
542,10.84,0.943,0.055,0.594,drum
543,10.86,1.155,0.033,0.733,drum
544,10.88,1.0,0.01,0.768,drum
545,10.9,0.771,0.048,0.659,drum
546,10.92,0.751,0.034,0.523,drum
547,10.94,0.722,-0.008,0.376,drum
548,10.96,0.708,-0.029,0.348,drum
549,10.98,0.772,-0.041,0.429,drum
550,11.0,0.776,-0.046,0.426,drum
551,11.02,0.766,-0.065,0.354,drum
552,11.04,0.762,-0.102,0.331,drum
553,11.06,0.716,-0.097,0.361,drum
554,11.08,0.742,-0.067,0.421,drum
555,11.1,0.739,-0.07,0.421,drum
556,11.12,0.713,-0.059,0.429,drum
557,11.14,0.748,-0.036,0.47,drum
558,11.16,0.737,-0.035,0.478,drum
559,11.18,0.739,-0.027,0.505,drum
560,11.2,0.913,-0.019,0.611,drum
561,11.22,1.002,-0.006,0.694,drum
562,11.24,0.944,-0.014,0.627,drum
563,11.26,0.806,-0.032,0.49,drum
564,11.28,0.813,0.118,0.389,drum
565,11.3,0.994,0.371,0.578,drum
566,11.32,1.456,0.103,0.943,drum
567,11.34,-0.141,-0.058,-0.23,drum
568,11.36,0.288,0.708,0.505,drum
569,11.38,1.872,-0.205,1.231,drum
570,11.4,1.524,-0.247,0.618,drum
571,11.42,0.688,0.282,0.404,drum
572,11.44,0.608,0.123,0.541,drum
573,11.46,0.587,0.073,0.419,drum
574,11.48,0.725,0.201,0.423,drum
575,11.5,0.933,0.097,0.523,drum
576,11.52,0.983,0.117,0.508,drum
577,11.54,0.943,0.161,0.496,drum
578,11.56,0.922,0.131,0.504,drum
579,11.58,0.874,0.127,0.468,drum
580,11.6,0.868,0.124,0.434,drum
581,11.62,0.865,0.102,0.438,drum
582,11.64,0.831,0.095,0.451,drum
583,11.66,0.808,0.087,0.474,drum
584,11.68,0.804,0.091,0.486,drum
585,11.7,0.836,0.097,0.502,drum
586,11.72,0.919,0.082,0.514,drum
587,11.74,0.958,0.078,0.521,drum
588,11.76,0.911,0.098,0.527,drum
589,11.78,0.868,0.101,0.485,drum
590,11.8,0.938,0.06,0.493,drum
591,11.82,0.932,0.114,0.505,drum
592,11.84,0.88,0.15,0.487,drum
593,11.86,1.01,0.16,0.6,drum
594,11.88,0.969,0.108,0.661,drum
595,11.9,0.847,0.118,0.559,drum
596,11.92,0.88,0.104,0.523,drum
597,11.94,0.829,0.078,0.504,drum
598,11.96,0.853,0.057,0.495,drum
599,11.98,0.96,0.024,0.493,drum
600,12.0,0.914,-0.009,0.464,drum
601,12.02,0.733,-0.019,0.401,drum
602,12.04,0.726,-0.031,0.411,drum
603,12.06,0.834,-0.03,0.419,drum
604,12.08,0.813,-0.042,0.398,drum
605,12.1,0.732,-0.031,0.411,drum
606,12.12,0.725,-0.039,0.433,drum
607,12.14,0.699,-0.031,0.443,drum
608,12.16,0.719,-0.021,0.448,drum
609,12.18,0.762,-0.023,0.477,drum
610,12.2,0.829,-0.011,0.505,drum
611,12.22,0.987,-0.033,0.534,drum
612,12.24,0.944,-0.04,0.584,drum
613,12.26,0.776,-0.002,0.651,drum
614,12.28,0.759,0.009,0.664,drum
615,12.3,0.888,-0.056,0.487,drum
616,12.32,0.865,0.014,0.267,drum
617,12.34,0.669,0.194,0.361,drum
618,12.36,0.96,0.213,0.668,drum
619,12.38,0.057,0.178,-0.174,drum
620,12.4,1.159,0.702,0.39,drum
621,12.42,2.0,-0.095,1.387,drum
622,12.44,1.134,-0.208,0.867,drum
623,12.46,0.283,0.267,0.347,drum
624,12.48,0.732,0.206,0.359,drum
625,12.5,0.989,0.07,0.395,drum
626,12.52,0.824,0.188,0.43,drum
627,12.54,0.753,0.184,0.476,drum
628,12.56,0.817,0.165,0.476,drum
629,12.58,0.946,0.153,0.477,drum
630,12.6,0.983,0.137,0.492,drum
631,12.62,0.911,0.159,0.511,drum
632,12.64,0.832,0.173,0.513,drum
633,12.66,0.811,0.166,0.502,drum
634,12.68,0.825,0.133,0.509,drum
635,12.7,0.827,0.116,0.498,drum
636,12.72,0.873,0.107,0.47,drum
637,12.74,0.913,0.082,0.444,drum
638,12.76,0.928,0.045,0.423,drum
639,12.78,0.899,0.077,0.488,drum
640,12.8,0.786,0.144,0.577,drum
641,12.82,0.884,0.194,0.644,drum
642,12.84,0.988,0.173,0.651,drum
643,12.86,0.995,0.131,0.62,drum
644,12.88,0.973,0.149,0.653,drum
645,12.9,0.866,0.134,0.692,drum
646,12.92,0.797,0.116,0.593,drum
647,12.94,0.866,0.049,0.458,drum
648,12.96,0.958,-0.004,0.419,drum
649,12.98,0.72,0.01,0.42,drum
650,13.0,0.739,-0.007,0.411,drum
651,13.02,0.841,-0.031,0.396,drum
652,13.04,0.774,-0.059,0.34,drum
